covariate_config,L,r,mean_MAE,mean_RMSE,std_MAE,std_RMSE,n_covariates
mean_age_temp_same_sex,8,2,20.4212,27.2345,6.2029,7.7822,3
age_diff_temp,8,2,20.3559,27.2391,6.0366,7.5993,2
age_diff_mean_age_temp_no_interaction,8,2,20.3372,27.2443,6.1983,7.7372,3
age_diff_temp_same_sex,8,2,20.4422,27.2558,6.1576,7.7009,3
mean_age_temp,8,2,20.3649,27.2717,6.1944,7.7728,2
temp_only,8,2,20.3816,27.2744,6.0548,7.6458,1
temp_same_sex,8,2,20.4677,27.2992,6.1797,7.7582,2
age_diff_mean_age,1,1,20.8542,27.8997,6.4991,9.0319,2
age_diff_temp,1,1,20.8702,27.9034,6.5142,9.0572,2
age_diff_only,1,1,20.8778,27.9114,6.5078,9.0568,1
age_diff_mean_age,1,2,20.8492,27.916,6.4669,9.013,2
temp_only,1,1,20.901,27.9163,6.502,9.057,1
no_covariates,1,1,20.901,27.9163,6.5019,9.057,0
age_diff_temp,1,2,20.8664,27.9193,6.4839,9.0377,2
age_diff_mean_age,1,0,20.8742,27.9198,6.4997,9.0334,2
mean_age_only,1,1,20.9038,27.9202,6.5079,9.0666,1
age_diff_temp,1,0,20.8888,27.9236,6.5103,9.0585,2
age_diff_mean_age_temp_with_interaction,1,1,20.8745,27.9243,6.5996,9.1193,4
age_diff_mean_age_temp_with_interaction,1,2,20.8755,27.9274,6.5988,9.1189,4
age_diff_only,1,2,20.8745,27.9278,6.4786,9.0381,1
age_diff_only,1,0,20.9017,27.9316,6.5036,9.0584,1
no_covariates,1,2,20.8954,27.9325,6.4715,9.0376,0
temp_only,1,2,20.8956,27.9325,6.4713,9.0376,1
temp_only,1,0,20.9244,27.9361,6.4979,9.0586,1
no_covariates,1,0,20.9244,27.9361,6.4979,9.0586,0
age_diff_same_sex,1,1,20.8771,27.9364,6.4821,9.028,2
mean_age_only,1,2,20.8994,27.9366,6.4764,9.0477,1
mean_age_only,1,0,20.9273,27.9402,6.504,9.0683,1
age_diff_mean_age_temp_with_interaction,1,0,20.8915,27.9433,6.5968,9.1206,4
same_sex_only,1,1,20.9346,27.9514,6.5118,9.0793,1
age_diff_same_sex,1,2,20.8785,27.9539,6.457,9.0091,2
age_diff_mean_age_temp_no_interaction,1,1,20.9202,27.9563,6.6436,9.1618,3
age_diff_same_sex,1,0,20.9003,27.9564,6.4791,9.0299,2
age_diff_mean_age_same_sex,1,1,20.8847,27.958,6.4991,9.0353,3
same_sex_only,1,2,20.9297,27.9687,6.4817,9.0606,1
same_sex_only,1,0,20.958,27.9712,6.5083,9.0812,1
age_diff_mean_age_temp_no_interaction,1,2,20.9151,27.972,6.6095,9.141,3
mean_age_same_sex,1,1,20.9311,27.9724,6.4995,9.0581,2
mean_age_temp,1,1,20.9686,27.9735,6.6515,9.1977,2
age_diff_mean_age_temp_same_sex_with_interaction,1,1,20.9027,27.9757,6.586,9.1125,5
age_diff_mean_age_same_sex,1,2,20.8915,27.9762,6.4711,9.0163,3
age_diff_mean_age_temp_no_interaction,1,0,20.9394,27.9766,6.6412,9.1635,3
age_diff_mean_age_same_sex,1,0,20.9082,27.9778,6.4961,9.0372,3
age_diff_mean_age_temp_same_sex_with_interaction,1,2,20.9043,27.9788,6.5851,9.1122,5
mean_age_temp,1,2,20.9658,27.9892,6.6153,9.1767,2
age_diff_temp_same_sex,1,1,20.937,27.9899,6.5625,9.1058,3
mean_age_same_sex,1,2,20.9337,27.9906,6.4718,9.0388,2
mean_age_same_sex,1,0,20.9543,27.992,6.4962,9.0601,2
mean_age_temp,1,0,20.9933,27.9936,6.6479,9.1995,2
age_diff_mean_age_temp_same_sex_with_interaction,1,0,20.9248,27.9944,6.5828,9.114,5
temp_same_sex,1,1,20.9778,28.0065,6.5604,9.1153,2
age_diff_mean_age_temp_same_sex_no_interaction,1,1,20.9453,28.0074,6.6357,9.1564,4
age_diff_temp_same_sex,1,2,20.9386,28.0076,6.5385,9.0864,3
age_diff_temp_same_sex,1,0,20.9598,28.0097,6.5596,9.1076,3
mean_age_temp_same_sex,1,1,20.9927,28.0211,6.6369,9.1836,3
temp_same_sex,1,2,20.9727,28.0244,6.5355,9.0961,2
age_diff_mean_age_temp_same_sex_no_interaction,1,2,20.9517,28.0249,6.6032,9.1352,4
temp_same_sex,1,0,21.0,28.026,6.558,9.1173,2
age_diff_mean_age_temp_same_sex_no_interaction,1,0,20.9683,28.0273,6.6333,9.1584,4
mean_age_temp_same_sex,1,2,20.9954,28.0386,6.6056,9.1623,3
mean_age_temp_same_sex,1,0,21.0156,28.041,6.6347,9.1857,3
